func/room2/ahum {"time":1618825850944053000,"value":220.28769909444026}
func/room1/ahum {"time":1618825850944053000,"value":235.0989406891082}
func/room1/ahum {"time":1618825851944053000,"value":274.0106949663993}
func/room2/ahum {"time":1618825851944053000,"value":226.2435081728591}
func/room2/ahum {"time":1618825852944053000,"value":238.74617862265447}
func/room1/ahum {"time":1618825852944053000,"value":326.8614820984958}
func/room2/ahum {"time":1618825853944053000,"value":291.37925418704754}
func/room1/ahum {"time":1618825853944053000,"value":371.3797451845}
func/room2/ahum {"time":1618825854944053000,"value":329.1256440171439}
func/room1/ahum {"time":1618825854944053000,"value":430.135578937802}
func/room2/ahum {"time":1618825855944053000,"value":405.2933459637378}
func/room1/ahum {"time":1618825855944053000,"value":484.39240540600275}
func/room2/ahum {"time":1618825856944053000,"value":470.1829680054766}
func/room1/ahum {"time":1618825856944053000,"value":548.8375450293175}
func/room2/ahum {"time":1618825857944053000,"value":556.9423606103252}
func/room1/ahum {"time":1618825857944053000,"value":560.0418773946789}
func/room2/ahum {"time":1618825858944053000,"value":583.2820320918778}
func/room1/ahum {"time":1618825858944053000,"value":452.7136121787219}
func/room1/ahum {"time":1618825859944053000,"value":296.2526966537522}
func/room2/ahum {"time":1618825859944053000,"value":516.9377006683372}
func/room2/ahum {"time":1618825860944053000,"value":378.60278470233067}
func/room1/ahum {"time":1618825860944053000,"value":212.91411812659746}
func/room2/ahum {"time":1618825861944053000,"value":277.54839584414236}
func/room1/ahum {"time":1618825861944053000,"value":195.5217917453336}
func/room1/ahum {"time":1618825862944053000,"value":235.0989406891082}
func/room2/ahum {"time":1618825862944053000,"value":220.28769909444026}
func/room2/ahum {"time":1618825863944053000,"value":226.2435081728591}
func/room1/ahum {"time":1618825863944053000,"value":274.0106949663993}
func/room1/ahum {"time":1618825864944053000,"value":326.8614820984958}
func/room2/ahum {"time":1618825864944053000,"value":238.74617862265447}
func/room1/ahum {"time":1618825865944053000,"value":371.3797451845}
func/room2/ahum {"time":1618825865944053000,"value":291.37925418704754}
func/room2/ahum {"time":1618825866944053000,"value":329.1256440171439}
func/room1/ahum {"time":1618825866944053000,"value":430.135578937802}
func/room2/ahum {"time":1618825867944053000,"value":405.2933459637378}
func/room1/ahum {"time":1618825867944053000,"value":484.39240540600275}
func/room1/ahum {"time":1618825868944053000,"value":548.8375450293175}
func/room2/ahum {"time":1618825868944053000,"value":470.1829680054766}
func/room1/ahum {"time":1618825869944053000,"value":560.0418773946789}
func/room2/ahum {"time":1618825869944053000,"value":556.9423606103252}
func/room1/ahum {"time":1618825870944053000,"value":452.7136121787219}
func/room2/ahum {"time":1618825870944053000,"value":583.2820320918778}
func/room1/ahum {"time":1618825871944053000,"value":296.2526966537522}
func/room2/ahum {"time":1618825871944053000,"value":516.9377006683372}
func/room2/ahum {"time":1618825872944053000,"value":378.60278470233067}
func/room1/ahum {"time":1618825872944053000,"value":212.91411812659746}
func/room1/ahum {"time":1618825873944053000,"value":195.5217917453336}
func/room2/ahum {"time":1618825873944053000,"value":277.54839584414236}
func/room2/ahum {"time":1618825874944053000,"value":220.28769909444026}
func/room1/ahum {"time":1618825874944053000,"value":235.0989406891082}
func/room1/ahum {"time":1618825875944053000,"value":274.0106949663993}
func/room2/ahum {"time":1618825875944053000,"value":226.2435081728591}
